week_date,region,platform,segment,customer_type,transactions,sales
2020-08-31,USA,Shopify,C1,New,164,20635
2020-08-31,USA,Retail,C1,New,36069,990085
2020-08-31,USA,Retail,C1,Existing,57648,2393490
2020-08-31,USA,Shopify,C1,Existing,739,128749
2020-08-24,USA,Shopify,C1,Existing,773,138404
2020-08-24,USA,Shopify,C1,New,151,21917
2020-08-24,USA,Retail,C1,Existing,58184,2456263
2020-08-24,USA,Retail,C1,New,37271,1064389
2020-08-17,USA,Shopify,C1,New,141,21468
2020-08-17,USA,Retail,C1,Existing,57901,2396327
2020-08-17,USA,Retail,C1,New,36127,980601
2020-08-17,USA,Shopify,C1,Existing,752,130572
2020-08-10,USA,Shopify,C1,New,140,18109
2020-08-10,USA,Retail,C1,Existing,57001,2325464
2020-08-10,USA,Retail,C1,New,35798,967881
2020-08-10,USA,Shopify,C1,Existing,725,127212
2020-08-03,USA,Shopify,C1,New,133,16466
2020-08-03,USA,Retail,C1,New,34891,948460
2020-08-03,USA,Retail,C1,Existing,56122,2336040
2020-08-03,USA,Shopify,C1,Existing,735,122312
2020-07-27,USA,Shopify,C1,New,196,24976
2020-07-27,USA,Shopify,C1,Existing,738,125858
2020-07-27,USA,Retail,C1,New,35404,958758
2020-07-27,USA,Retail,C1,Existing,56812,2343529
2020-07-20,USA,Shopify,C1,New,177,22746
2020-07-20,USA,Retail,C1,New,35843,981310
2020-07-20,USA,Shopify,C1,Existing,777,126503
2020-07-20,USA,Retail,C1,Existing,57357,2379963
2020-07-13,USA,Retail,C1,New,35213,927603
2020-07-13,USA,Retail,C1,Existing,58471,2428237
2020-07-13,USA,Shopify,C1,New,145,17859
2020-07-13,USA,Shopify,C1,Existing,751,127595
2020-07-06,USA,Retail,C1,Existing,58791,2469632
2020-07-06,USA,Shopify,C1,New,115,14544
2020-07-06,USA,Retail,C1,New,35274,943414
2020-07-06,USA,Shopify,C1,Existing,683,122755
2020-06-29,USA,Retail,C1,Existing,57014,2312994
2020-06-29,USA,Shopify,C1,New,144,16411
2020-06-29,USA,Retail,C1,New,34795,925527
2020-06-29,USA,Shopify,C1,Existing,668,112466
2020-06-22,USA,Shopify,C1,Existing,717,125293
2020-06-22,USA,Shopify,C1,New,148,18844
2020-06-22,USA,Retail,C1,New,33176,932002
2020-06-22,USA,Retail,C1,Existing,55440,2332011
2020-06-15,USA,Retail,C1,New,35089,912355
2020-06-15,USA,Shopify,C1,New,134,15631
2020-06-15,USA,Retail,C1,Existing,57521,2349815
2020-06-15,USA,Shopify,C1,Existing,732,129019
2020-06-08,USA,Retail,C1,Existing,57807,2428193
2020-06-08,USA,Retail,C1,New,34521,919837
2020-06-08,USA,Shopify,C1,New,134,17542
2020-06-08,USA,Shopify,C1,Existing,699,116723
2020-06-01,USA,Retail,C1,New,34418,919327
2020-06-01,USA,Shopify,C1,Existing,852,134888
2020-06-01,USA,Retail,C1,Existing,57233,2360455
2020-06-01,USA,Shopify,C1,New,151,17052
2020-05-25,USA,Shopify,C1,New,139,16512
2020-05-25,USA,Retail,C1,Existing,53163,2289378
2020-05-25,USA,Shopify,C1,Existing,782,125540
2020-05-25,USA,Retail,C1,New,32072,878454
2020-05-18,USA,Shopify,C1,New,177,22785
2020-05-18,USA,Retail,C1,New,35471,935950
2020-05-18,USA,Retail,C1,Existing,57896,2390319
2020-05-18,USA,Shopify,C1,Existing,820,127924
2020-05-11,USA,Retail,C1,Existing,57746,2427780
2020-05-11,USA,Shopify,C1,New,149,17796
2020-05-11,USA,Retail,C1,New,34870,924372
2020-05-11,USA,Shopify,C1,Existing,782,128595
2020-05-04,USA,Shopify,C1,New,134,15820
2020-05-04,USA,Retail,C1,New,36031,962097
2020-05-04,USA,Retail,C1,Existing,58022,2388490
2020-05-04,USA,Shopify,C1,Existing,684,115653
2020-04-27,USA,Shopify,C1,New,137,16559
2020-04-27,USA,Retail,C1,New,34767,937197
2020-04-27,USA,Retail,C1,Existing,58188,2441485
2020-04-27,USA,Shopify,C1,Existing,724,123667
2020-04-20,USA,Retail,C1,Existing,52119,2263926
2020-04-20,USA,Retail,C1,New,30816,869651
2020-04-20,USA,Shopify,C1,Existing,764,126901
2020-04-20,USA,Shopify,C1,New,135,15998
2020-04-13,USA,Shopify,C1,New,124,16680
2020-04-13,USA,Retail,C1,New,36103,968269
2020-04-13,USA,Retail,C1,Existing,59460,2475388
2020-04-13,USA,Shopify,C1,Existing,579,100790
2020-04-06,USA,Shopify,C1,Existing,650,116880
2020-04-06,USA,Retail,C1,Existing,57036,2342078
2020-04-06,USA,Shopify,C1,New,115,16454
2020-04-06,USA,Retail,C1,New,33927,891114
2020-03-30,USA,Shopify,C1,Existing,704,120495
2020-03-30,USA,Retail,C1,Existing,58293,2435956
2020-03-30,USA,Shopify,C1,New,164,21432
