visit_id,cookie_id,page_id,event_type,sequence_number,event_time
ccf365,c4ca42,1,1,1,2020-02-04 19:16:09.182546 UTC
ccf365,c4ca42,2,1,2,2020-02-04 19:16:17.358191 UTC
ccf365,c4ca42,6,1,3,2020-02-04 19:16:58.454669 UTC
ccf365,c4ca42,9,1,4,2020-02-04 19:16:58.609142 UTC
ccf365,c4ca42,10,1,6,2020-02-04 19:18:11.605815 UTC
ccf365,c4ca42,11,1,8,2020-02-04 19:19:46.911728 UTC
ccf365,c4ca42,12,1,10,2020-02-04 19:20:52.307244 UTC
d58cbd,c81e72,1,1,1,2020-01-18 23:40:54.761906 UTC
d58cbd,c81e72,2,1,2,2020-01-18 23:41:06.391027 UTC
d58cbd,c81e72,4,1,3,2020-01-18 23:42:02.213001 UTC
d58cbd,c81e72,5,1,5,2020-01-18 23:42:44.717024 UTC
d58cbd,c81e72,7,1,7,2020-01-18 23:43:25.806239 UTC
d58cbd,c81e72,8,1,8,2020-01-18 23:43:40.537995 UTC
d58cbd,c81e72,10,1,10,2020-01-18 23:44:22.103768 UTC
d58cbd,c81e72,12,1,12,2020-01-18 23:45:38.186554 UTC
9a2f24,eccbc8,1,1,1,2020-02-21 03:19:10.032455 UTC
9a2f24,eccbc8,4,1,2,2020-02-21 03:19:24.677901 UTC
9a2f24,eccbc8,7,1,4,2020-02-21 03:20:13.391830 UTC
9a2f24,eccbc8,10,1,6,2020-02-21 03:20:45.854556 UTC
9a2f24,eccbc8,11,1,7,2020-02-21 03:21:20.335104 UTC
9a2f24,eccbc8,12,1,8,2020-02-21 03:21:43.262109 UTC
7caba5,a87ff6,1,1,1,2020-02-22 17:49:37.646174 UTC
7caba5,a87ff6,4,1,2,2020-02-22 17:50:23.736729 UTC
7caba5,a87ff6,5,1,3,2020-02-22 17:50:26.878153 UTC
7caba5,a87ff6,8,1,5,2020-02-22 17:51:53.119277 UTC
7caba5,a87ff6,9,1,6,2020-02-22 17:52:21.958526 UTC
f61ed7,e4da3b,1,1,1,2020-02-01 06:30:39.766168 UTC
f61ed7,e4da3b,2,1,2,2020-02-01 06:30:50.502402 UTC
f61ed7,e4da3b,4,1,3,2020-02-01 06:31:07.364658 UTC
f61ed7,e4da3b,8,1,4,2020-02-01 06:31:29.543820 UTC
f61ed7,e4da3b,9,1,5,2020-02-01 06:31:44.967397 UTC
f61ed7,e4da3b,10,1,7,2020-02-01 06:33:33.068154 UTC
f61ed7,e4da3b,11,1,9,2020-02-01 06:34:26.510623 UTC
f61ed7,e4da3b,12,1,10,2020-02-01 06:34:48.748860 UTC
